name,answer
folder1_image_20249.jpg,1
folder1_image_27177.jpg,0
folder1_image_33850.jpg,1
folder2_image_6935.jpg,2
folder1_image_29906.jpg,2
folder1_image_25693.jpg,0
folder1_image_13525.jpg,0
folder2_image_8906.jpg,0
folder2_image_34171.jpg,2
folder2_image_22895.jpg,0
folder2_image_4999.jpg,1
folder2_image_41217.jpg,1
folder1_image_7755.jpg,2
folder2_image_24138.jpg,0
folder1_image_23452.jpg,2
folder2_image_6203.jpg,2
folder1_image_40812.jpg,1
folder2_image_5361.jpg,1
folder1_image_40980.jpg,0
folder1_image_42246.jpg,1
folder2_image_19854.jpg,1
folder2_image_36863.jpg,0
folder1_image_22849.jpg,2
folder1_image_10482.jpg,1
folder1_image_40414.jpg,1
folder1_image_55.jpg,1
folder2_image_15003.jpg,2
folder1_image_785.jpg,0
folder2_image_4354.jpg,1
folder2_image_6069.jpg,1
folder2_image_13769.jpg,1
folder1_image_31717.jpg,1
folder1_image_29806.jpg,2
folder1_image_39230.jpg,1
folder1_image_4931.jpg,0
folder2_image_35300.jpg,2
folder2_image_33126.jpg,0
folder1_image_47667.jpg,1
folder2_image_12683.jpg,0
folder1_image_20107.jpg,1
folder1_image_13140.jpg,2
folder1_image_48038.jpg,1
folder1_image_18873.jpg,1
folder1_image_34712.jpg,2
folder2_image_2546.jpg,1
folder2_image_18594.jpg,1
folder1_image_30724.jpg,2
folder1_image_44024.jpg,1
folder2_image_15593.jpg,1
folder2_image_23064.jpg,0
folder1_image_44461.jpg,1
folder2_image_30777.jpg,1
folder2_image_29764.jpg,0
folder2_image_23465.jpg,1
folder1_image_16645.jpg,1
folder1_image_15902.jpg,2
folder1_image_47078.jpg,0
folder2_image_32679.jpg,0
folder1_image_33435.jpg,0
folder1_image_744.jpg,1
folder1_image_9909.jpg,2
folder1_image_46549.jpg,0
folder2_image_418.jpg,0
folder1_image_31772.jpg,0
folder2_image_13561.jpg,0
folder1_image_35385.jpg,2
folder2_image_16777.jpg,0
folder1_image_23253.jpg,1
folder2_image_5386.jpg,1
folder2_image_13405.jpg,0
folder2_image_30123.jpg,1
folder1_image_31444.jpg,0
folder2_image_38669.jpg,2
folder2_image_6333.jpg,2
folder2_image_29444.jpg,2
folder1_image_47342.jpg,1
folder1_image_39186.jpg,1
folder2_image_8082.jpg,1
folder1_image_39263.jpg,2
folder2_image_11661.jpg,1
folder1_image_48334.jpg,1
folder1_image_43901.jpg,2
folder2_image_8968.jpg,2
folder2_image_7156.jpg,2
folder2_image_4462.jpg,1
folder2_image_2939.jpg,2
folder1_image_29133.jpg,2
folder1_image_9402.jpg,0
folder2_image_23292.jpg,2
folder2_image_30336.jpg,2
folder1_image_24894.jpg,0
folder1_image_1628.jpg,1
folder1_image_30106.jpg,2
folder1_image_8623.jpg,2
folder1_image_7151.jpg,2
folder2_image_33794.jpg,0
folder2_image_38423.jpg,0
folder1_image_29508.jpg,2
folder1_image_203.jpg,0
folder2_image_20364.jpg,2
folder2_image_25906.jpg,2
folder2_image_27788.jpg,2
folder2_image_22728.jpg,1
folder2_image_12332.jpg,2
folder1_image_25905.jpg,1
folder1_image_41230.jpg,1
folder2_image_41662.jpg,2
folder1_image_26629.jpg,1
folder1_image_7849.jpg,2
folder2_image_24481.jpg,1
folder2_image_21216.jpg,1
folder1_image_36431.jpg,1
folder2_image_21914.jpg,1
folder2_image_12576.jpg,1
folder2_image_12768.jpg,0
folder1_image_43515.jpg,2
folder2_image_21321.jpg,1
folder1_image_11263.jpg,2
folder2_image_35375.jpg,1
folder1_image_7780.jpg,2
folder1_image_40408.jpg,1
folder1_image_12871.jpg,0
folder2_image_23327.jpg,0
folder1_image_40541.jpg,1
folder2_image_7751.jpg,0
folder1_image_20131.jpg,2
folder1_image_22517.jpg,1
folder2_image_9445.jpg,1
folder2_image_25065.jpg,2
folder2_image_13262.jpg,2
folder2_image_10711.jpg,0
folder2_image_34893.jpg,2
folder2_image_22603.jpg,0
folder1_image_21098.jpg,2
folder2_image_17165.jpg,1
folder1_image_49735.jpg,0
folder1_image_18574.jpg,1
folder2_image_35184.jpg,2
folder2_image_39552.jpg,1
folder1_image_2021.jpg,1
folder2_image_9784.jpg,1
folder1_image_41005.jpg,1
folder2_image_2342.jpg,0
folder1_image_29623.jpg,0
folder2_image_26570.jpg,2
folder1_image_43373.jpg,0
folder1_image_18722.jpg,2
folder1_image_8156.jpg,0
folder1_image_15907.jpg,1
folder1_image_29169.jpg,2
folder1_image_29851.jpg,2
folder1_image_19642.jpg,0
folder1_image_33208.jpg,0
